name,address,lat,lng,zone
Yoga Baires - Tradición Krishnamacharya KHYF,"Emilio Lamarca 327, Martínez",-34.4881467,-58.4964682,sanisidro
Maas Yoga Martinez,"Gral. Paunero 1973, Martínez",-34.4871329,-58.4964288,sanisidro
Yoga para Embarazadas y Postparto,"Gral. Paunero 1973, Martínez",-34.487128,-58.49642000000001,sanisidro
Palo santo,"Av. Andres Rolon 816, San Isidro, Buenos Aires",-34.4745374,-58.53190410000001,sanisidro
Pipi Faure Yoga,"Esteban de Luca 274, San Isidro",-34.4735605,-58.508577,sanisidro
Clases de Yoga - Barby Leguizamón,"Ituzaingó 66, San Isidro",-34.4709304,-58.51504869999999,sanisidro
Centro Yoga Real (Kundalini Shakti),"Gral. Paz 741, San Isidro",-34.4706321,-58.5228196,sanisidro
Yoga como sistema de vida,"Juan Clark 1838, Béccar",-34.4699331,-58.5444293,sanisidro
Centro de Yoga Narayana,"Los Sauces 1068, San Isidro",-34.4691625,-58.4998774,sanisidro
Bodhi Yoga,"Coronel Obarrio y Lasalle, San Isidro",-34.4683842,-58.5044329,sanisidro
Yoga Proyectomadre San Isidro,"Béccar Varela 754, San Isidro",-34.4674047,-58.5077024,sanisidro
Espacio Garage Yoga,"Béccar Varela 754, San Isidro",-34.4674047,-58.50770159999999,sanisidro
Animayoga,"Ituzaingó 590, San Isidro",-34.4669231,-58.5103883,sanisidro2
Yoga Darshana - Centro de Estudios Tradicionales - Vinyasa Yoga - Dinámico,"Magallanes, San Isidro",-34.4652858,-58.5080571,sanisidro
Sakshi Yoga - Presencia y Consciencia,"1642 Bajo de, San Isidro",-34.4646125,-58.51727059999999,sanisidro
