name,address,lat,lng,zone
Casa Valle,Valle 715,-34.624693,-58.437924,Caballito
yoga,Hualfin 896,-34.6239208,-58.4405193,Caballito
ESPACIO AURA YOGA,"Comuna 11, San Nicolás 841",-34.6238278,-58.4820632,Caballito
Casa Vaiu Yoga,"Saavedra 1182, C1229ACN",-34.6231648,-58.4008559,Centro
"Argentina Kundalini Yoga . Clases Presenciales, Online Virtuales y en el Parque",Av. Juan Bautista Alberdi 1090,-34.623078,-58.443219,Caballito
Instituto de Yoga Mataji,C. Dr. Juan Felipe Aranguren 2314,-34.6228005,-58.46402299999999,Caballito
Yoga Habitando el Ser,"Maza, Estados Unidos y",-34.6226939,-58.4147872,Caballito
Ashtanga Yoga Caballito,Gral. Martín de Gainza 40,-34.6218031,-58.44547060000001,Caballito
Yana Yoga & Armonización - Caballito,"Guayaquil 777 y, Villa Luro",-34.6216613,-58.4391064,Caballito
Yogaestar,"Guayaquil 700, C1424CIA, Buenos Aires",-34.6215683,-58.438756,Caballito
Clases de Yoga Iyengar en Flores “ATHA YOGA ESTUDIO IYENGAR”- Profesores certificados,"Alfredo R. Bufano, Felipe Vallese y, Buenos Aires",-34.6213798,-58.4655087,Caballito
YOGA en C.A.B.A.,Lima 1125,-34.62120290000001,-58.3816189,Centro
San Telmo Yoga,Bolívar 1128,-34.6210482,-58.3727943,Centro
Yoga y Vida,Humberto 1º 936,-34.6209605,-58.3792833,Centro
Yoga Vida Vital,"Humberto Primo, Piedras y",-34.6209181,-58.3773448,Centro
Ashtanga Yoga San Telmo,"Bolívar, Humberto 1º y",-34.6208513,-58.3728063,Centro
Yoga Aldea Shakti,Av. Alicia Moreau de Justo 1848,-34.620621,-58.3650014,Centro
Estudio de Yoga Iyengar Laura Basile en San Telmo,"Humberto 1º y, Balcarce",-34.620574,-58.37020669999999,Centro
Shala Club Yoga y Bienestar,Rosario 732,-34.6205199,-58.4391396,Caballito
stretch club,1063,-34.62002,-58.3701436,Centro
Move On Pilates,Guayaquil 124,-34.6198047,-58.4301578,Caballito
Desde el cuerpo | YOGA,Tacuarí al 1000,-34.6196603,-58.37878180000001,Centro
Yoga Cristal y OKEA Astrología psicológica,Viel 222,-34.6193935,-58.433061,Caballito
Espacio Saraswati,Salta 944,-34.619039,-58.3828681,Centro
Ashtanga Yoga San Cristóbal - Milita Yoga,Combate de los Pozos 825,-34.618744,-58.39337399999999,Centro
Piso8cho,Rosario,-34.61868,-58.43207589999999,Caballito
Dharma yoga,Av. Independencia 2210,-34.6186279,-58.39768890000001,Centro
Casa Mármol,José Mármol 446,-34.61853800000001,-58.425508,Caballito
"Aeroyoga y Aeropilates Plaza Irlanda ️ Yoga, Pilates y Fitness Aereo",Méndez de Andés 1637,-34.6182601,-58.4567858,Caballito
Yoga,C. Dr. Juan Felipe Aranguren 1267,-34.6173773,-58.4492317,Caballito
Bisma Yoga,"Timbre Negro, Ciudad Atónoma de Buenos Aires Ciudad Autónoma de Buenos Aires AR, Gral. César Díaz 3342 Dpto 1, ETB",-34.617345,-58.4843939,Caballito
Yoga Prema Devi,Av. Boyacá 927,-34.6170187,-58.4633438,Caballito
Aeroyoga Caballito,Giordano Bruno 800,-34.6169544,-58.44112829999999,Caballito
Dhamma Abhyasa Yoga,Pje. el Maestro 52,-34.6168839,-58.43098920000001,Caballito
Yoga Centro,Tacuarí 745,-34.6168546,-58.3788833,Centro
Ananta . Yoga y holística,Rojas 389,-34.6164432,-58.4430332,Caballito
Yoga Surya,"Maza 448, C1206ACJ",-34.6163703,-58.41544089999999,Caballito
Espacio Orden Natural - Sede Morelos,Morelos 765,-34.6162654,-58.4569535,Caballito
Las Juanas Artes Escénicas - Escuela de Danza - Yoga - Sala de ensayos,Santiago del Estero 657,-34.6161524,-58.3845653,Caballito
Lilapilates YOGA ‍ ️ ‍ ️ ‍ ️,"Av. Belgrano 4200, José Mármol 300, Buenos Aires",-34.6160575,-58.4258325,Caballito
Pratyaksa Yoga,Av. Belgrano 3716,-34.6160467,-58.4187848,Caballito
Indigo Hatha Yoga,"Dr Gregorio Araoz Alfaro, Av. Acoyte y, Buenos Aires",-34.6157835,-58.43747079999999,Caballito
Purna,Neuquén 1526,-34.6157822,-58.45511759999999,Caballito
Sen.Ti Yoga,Dr. Luis Beláustegui 2755,-34.6157316,-58.4763216,Caballito
Maestro Pilates,Pje. Dr. Gregorio Aráoz Alfaro 421,-34.6155659,-58.4367002,Caballito
Espacio Ginkgo,"C1416DNK, Luis Viale 2301-2325",-34.6155308,-58.4678969,Caballito
Centro de Yoga Inti Killa,"Pres. Luis Sáenz Peña 600, C1077AAO",-34.6153746,-58.3873748,Centro
Hastinapura Monserrat,"Solis 576 3er piso , CABA, C1098ABC",-34.6153508,-58.39030440000001,Centro
Yoga Renaciendo Caballito,Eduardo Acevedo 27,-34.6152258,-58.4307083,Caballito
Yoga alma yogui v.l.,Quintino Bocayuva 228,-34.6151665,-58.4229104,Caballito
Escuela Espacio Om,Paysandú 745,-34.6149156,-58.4510848,Caballito
@cuerpoenarmonia_yoga,Galicia 2338,-34.6149114,-58.4689801,Caballito
Siendo Bienestar,Av. Rivadavia 4500,-34.6148307,-58.4282373,Caballito
Yoga Iyengar / Mariana Indart,"C1209ABQ, Moreno 3655, Buenos Aires",-34.614559,-58.4178405,Caballito
Espacio Odara Yoga,Gavilán 1380,-34.6143084,-58.4673031,Caballito
Concepto Yoga Lakshmi,Av. Boedo 200,-34.6138883,-58.41701819999999,Caballito
Lokah Yoga Studio,Dr. Eleodoro Lobos 330,-34.6137599,-58.4357887,Caballito
Escuela Taitoku de Yoga y Medicina Oriental,San Blas 3060,-34.6125657,-58.4834022,Caballito
Armonia Interior Yoga Noelia Taddia,Manuel Ricardo Trelles 1300,-34.6123952,-58.46155979999999,Caballito
MUTA - Yoga,Colombres 65,-34.6122518,-58.41957319999999,Caballito
Yoga con Elementos,"Tres Arroyos, Av. Boyacá Y",-34.6121145,-58.4663335,Caballito
Ekam Prema Yoga & Ayurveda,Terrada 1884,-34.6120419,-58.4792721,Caballito
Yoga Buenos Aires - Sede Almagro,Gascón 50,-34.6119527,-58.4241311,Caballito
